"word","topic_index","weight"
"santorcaz",34,0.17307031294976344
"amaranta",20,0.16512299562020452
"gabriel",36,0.16341330880795077
"gray",22,0.16171568821021806
"guerra",37,0.1523695632764317
"corazón",35,0.1519864515671484
"heridos",48,0.14778328077038694
"maría",45,0.1367068395172799
"miedo",43,0.133156709227685
"caballo",28,0.1330480314126331
"dinero",42,0.12888152613492326
"puerta",49,0.12198773172786319
"agua",33,0.11917077392467235
"caballos",28,0.10956580643753482
"batalla",31,0.10742981777618843
"madre",46,0.1061713993167364
"inés",47,0.09618762965600103
"mujeres",38,0.09237970660718096
"napoleón",23,0.08911930880209175
"fuego",8,0.08697431651215849
"noche",14,0.0856771971523509
"sueño",24,0.08515195591869931
"bonaparte",23,0.08435782636142862
"ingleses",25,0.08348025794261713
"san",40,0.08208802396725816
"calle",16,0.08147936429356985
"enemigo",15,0.0814602371544324
"inglés",25,0.08131131777016178
"nadie",32,0.07943726127286242
"madrid",13,0.07798797577228125
"dormir",24,0.07769488588493655
"alma",11,0.07768146355756253
"gritos",21,0.07698212285099042
"tristeza",39,0.07605804845034582
"enemigos",15,0.07597051318662862
"inglaterra",25,0.07586273753540794
"desesperación",39,0.07431640091219151
"lord",9,0.07401306328903519
"río",33,0.0736850336449473
"vestido",26,0.0735401224470029
"libros",29,0.07006257478075109
"hija",19,0.07000381159692273
"muchacha",19,0.06937445008320918
"libro",29,0.06693464700050711
"temor",43,0.06605841297870844
"mujer",38,0.06599094674319896
"ojos",7,0.06355622940739748
"herida",48,0.0622866521479938
"reír",17,0.06159936194703136
"espíritu",11,0.0607073292333349
"dios",9,0.05962621072398012
"hambre",12,0.05941093071137749
"calles",16,0.05856460688416069
"herido",48,0.05757230792394318
"heridas",48,0.0572256697966061
"padres",46,0.05586695989460776
"franceses",0,0.055766823929557736
"guerras",37,0.05566921906029313
"matrimonio",27,0.05510788033659805
"inglesa",25,0.05457077303290919
"batallas",31,0.053861741650117353
"combate",31,0.05333769010664633
"españoles",4,0.0525374010966093
"ropa",26,0.05209021140464355
"casarse",27,0.05166929986612666
"esposa",27,0.0509766236604133
"corazones",35,0.04965109572232437
"puertas",49,0.04945276422563684
"madres",46,0.04924606048615594
"gritando",21,0.04906045261964428
"lectores",29,0.04798907016770953
"paternidad",46,0.04788476314445215
"comer",12,0.047696680443302414
"brazo",10,0.04754198519567067
"españa",4,0.04713331012500893
"noches",14,0.045926628536561556
"brazos",10,0.045698475738515314
"ninguno",32,0.04567489780072271
"ropas",26,0.04482106352931783
"casa",6,0.04480641297958976
"risas",17,0.043777734352827516
"traje",26,0.04282344476043395
"casarme",27,0.04246212796163262
"muerte",1,0.04131070576089423
"nunca",32,0.04069847769772366
"esposo",27,0.04049658403486077
"mamá",46,0.039947473551801824
"casar",27,0.03919997531204648
"marido",27,0.0387934833601056
"dormía",24,0.03871941407375106
"soldados",2,0.038680225966267
